source_file,list_name,flow_uuid,flow_name,context,unit,cas_number,synonyms
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,"1,3-Dioxolan-2-one",water/unspecified,kg,,
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,"1,4-Butanediol","air/low population density, long-term",kg,,Butylene glycol
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,"1,4-Butanediol",air/lower stratosphere + upper troposphere,kg,,Butylene glycol
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,"1,4-Butanediol",air/non-urban air or from high stacks,kg,,Butylene glycol
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,"1,4-Butanediol",air/unspecified,kg,,Butylene glycol
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,"1,4-Butanediol",air/urban air close to ground,kg,,Butylene glycol
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,"1,4-Butanediol",water/ground-,kg,,Butylene glycol
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,"1,4-Butanediol","water/ground-, long-term",kg,,Butylene glycol
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,"1,4-Butanediol",water/ocean,kg,,Butylene glycol
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,"1,4-Butanediol",water/surface water,kg,,Butylene glycol
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,"1,4-Butanediol",water/unspecified,kg,,Butylene glycol
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,1-Pentanol,"air/low population density, long-term",kg,,amyl alcohol
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,1-Pentanol,air/lower stratosphere + upper troposphere,kg,,amyl alcohol
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,1-Pentanol,air/non-urban air or from high stacks,kg,,amyl alcohol
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,1-Pentanol,air/unspecified,kg,,amyl alcohol
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,1-Pentanol,air/urban air close to ground,kg,,amyl alcohol
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,1-Pentanol,water/ground-,kg,,amyl alcohol
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,1-Pentanol,"water/ground-, long-term",kg,,amyl alcohol
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,1-Pentanol,water/ocean,kg,,amyl alcohol
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,1-Pentanol,water/surface water,kg,,amyl alcohol
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,1-Pentanol,water/unspecified,kg,,amyl alcohol
